,Unnamed: 0,id,created_at,clean_text,hashtags,place,timeline
416,251,1.29293E+18,2020-08-10 20:59:00+00:00,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
417,252,1.3044E+18,2020-09-11 13:02:17+00:00,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
418,253,1.30954E+18,2020-09-25 17:05:08+00:00,Safer travel,,,post
419,254,1.30976E+18,2020-09-26 07:57:33+00:00,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
420,255,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
421,256,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
422,257,1.30325E+18,2020-09-08 08:41:42+00:00,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
423,258,1.30286E+18,2020-09-07 06:47:39+00:00,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
424,259,1.29293E+18,2020-08-10 20:59:00+00:00,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
425,260,1.3044E+18,2020-09-11 13:02:17+00:00,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
426,261,1.30954E+18,2020-09-25 17:05:08+00:00,Safer travel,,,post
427,262,1.30976E+18,2020-09-26 07:57:33+00:00,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
428,263,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
429,264,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
430,265,1.30325E+18,2020-09-08 08:41:42+00:00,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
431,266,1.30286E+18,2020-09-07 06:47:39+00:00,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
432,267,1.29293E+18,2020-08-10 20:59:00+00:00,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
433,268,1.3044E+18,2020-09-11 13:02:17+00:00,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
434,269,1.30954E+18,2020-09-25 17:05:08+00:00,Safer travel,,,post
435,270,1.30976E+18,2020-09-26 07:57:33+00:00,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
436,271,1.31121E+18,2020-09-30 07:30:58+00:00,We look forward seeing fantastic South African journalist goes next She covered clear focus social justice All best,"ClimateChange, AirPollution",,post
437,272,1.3112E+18,2020-09-30 07:10:17+00:00,After 15 years today last day Saturday Star I ’ blessed work learn incredible journalists made great friends grateful editors supported encouraged work Onto next exciting chapter environmental journalism,,,post
438,273,1.30325E+18,2020-09-08 08:41:42+00:00,Air pollution causes respiratory heart problems And already pre-existing respiratory conditions asthma pneumonia suffer Prevent air pollution,"CleanAirForAll, CleanAirJoburg, CleanAir, SolutionToPollution","Johannesburg, South Africa",post
439,274,1.30286E+18,2020-09-07 06:47:39+00:00,The UN General Assembly adopted resolution designate today 7th September International Day Clean Air Blue Skies part effort improve air quality awareness,"CleanAirForAll, CleanAir, worldcleanairday, CleanTheAir, GlobalGoals","Johannesburg, South Africa",post
440,275,1.29293E+18,2020-08-10 20:59:00+00:00,Monday Movements OutDoor Chapterz Part 1 Hike Like Sunday wit Homeyz Modderfontein Reserve,"outdoors, life, living, Family, friends, trips, tripstagram, photoshoot, freshair","Johannesburg, South Africa",post
441,276,1.3044E+18,2020-09-11 13:02:17+00:00,Another awesome day saddle Gauteng,"mtb, mtblife, mtbcannondale, sunrise, sunshine, sun, freshair, freshairtherapy, cannondale, cycle, cycling","Randburg, South Africa",post
442,277,1.30954E+18,2020-09-25 17:05:08+00:00,Safer travel,,,post
443,278,1.30976E+18,2020-09-26 07:57:33+00:00,Airlines industry THE MAIN VECTOR spread COVID These measures paltry gestures The fact airline industry know airborne spread particulates done little prevent pure negligence Get real,,,post
444,279,1.30288E+18,2020-09-07 07:59:35+00:00,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
445,280,1.30288E+18,2020-09-07 08:09:45+00:00,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
446,281,1.30288E+18,2020-09-07 07:59:35+00:00,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
447,282,1.30288E+18,2020-09-07 08:09:45+00:00,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
448,283,1.30288E+18,2020-09-07 07:59:35+00:00,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
449,284,1.30288E+18,2020-09-07 08:09:45+00:00,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
450,285,1.30288E+18,2020-09-07 07:59:35+00:00,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
451,286,1.30288E+18,2020-09-07 08:09:45+00:00,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
452,287,1.30288E+18,2020-09-07 07:59:35+00:00,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
453,288,1.30288E+18,2020-09-07 08:09:45+00:00,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
454,289,1.30288E+18,2020-09-07 07:59:35+00:00,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
455,290,1.30288E+18,2020-09-07 08:09:45+00:00,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
456,291,1.30288E+18,2020-09-07 07:59:35+00:00,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
457,292,1.30288E+18,2020-09-07 08:09:45+00:00,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
458,293,1.30288E+18,2020-09-07 07:59:35+00:00,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
459,294,1.30288E+18,2020-09-07 08:09:45+00:00,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
460,295,1.30288E+18,2020-09-07 07:59:35+00:00,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
461,296,1.30288E+18,2020-09-07 08:09:45+00:00,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
462,297,1.30288E+18,2020-09-07 07:59:35+00:00,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
463,298,1.30288E+18,2020-09-07 08:09:45+00:00,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
464,299,1.30288E+18,2020-09-07 07:59:35+00:00,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
465,300,1.30288E+18,2020-09-07 08:09:45+00:00,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
466,301,1.30288E+18,2020-09-07 07:59:35+00:00,Today International Day Clean Air Blue Skies simply World Day We continue project leveraging potential low cost air quality sensors clean air urban areas Ghana,CleanAir,"Central, Ghana",post
467,302,1.30288E+18,2020-09-07 08:09:45+00:00,On first World Day excited announce efforts reference grade NO2 monitor,"CleanAir, Accra","Central, Ghana",post
468,303,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
469,304,1.30361E+18,2020-09-09 08:31:52+00:00,Few slots remaining Follow link register,"CleanAirForAll, Nairobi, AirPollution, cleanenergy","Ngong, Kenya",post
470,305,1.31138E+18,2020-09-30 19:14:55+00:00,"Data recent World Bank study show Lagos Nigeria residents paying high price study estimates air pollution resulted 11,200 premature deaths 2018 alone","airpollution, nigeria",,post
