,id,created_at,clean_text,hashtags,place,timeline
47,1289988191605288960,Sun Aug 02 18:15:26 +0000 2020,She love colours ️ …,"love, fashionista, lagosboutique, african, follow, ankarafashion, nigerianwomen, naijafashiondaily, ankara, freshair, nigerianweddings, nigerianbusiness","Lagos, Nigeria",post
48,1289994735000735744,Sun Aug 02 18:41:26 +0000 2020,Those High waist pants 🤩🤩 love …,"fashionista, lagosboutique, african, follow, ankarafashion, nigerianwomen, naijafashiondaily, ankara, freshair, nigerianweddings, nigerianbusiness","Lagos, Nigeria",post
49,1310441968338599936,Mon Sep 28 04:51:26 +0000 2020,With Sun King families breath cleaner air This removes worries harmful particulates emitted Kerosene lanterns knowing loved ones safer healthier,"Sunking, solarnergy, endenergypoverty",,post
50,1302893126495932416,Mon Sep 07 08:55:02 +0000 2020,Air pollution threat sustainable development simultaneously affects various social environmental amp economic criteria linked equitable human development good health food security gender equality climate stability amp poverty reduction,WorldCleanAirDay,,post
51,1302895825769689088,Mon Sep 07 09:05:46 +0000 2020,What contribution especially Take Action today,"WorldCleanAirDay, StareDownOnPollution, AirPollution, Sustainable, Cycling","Lagos, Nigeria",post
52,1296446705920081922,Thu Aug 20 13:59:16 +0000 2020,Throw back Thursday We Osten Lagos Nigeria,"OstenLaboratory, Ostenlab, airquality, airqualitymeasurement, environmentalanalysis, analysis","Lagos, Nigeria",post
53,1309419842785759233,Fri Sep 25 09:09:53 +0000 2020,Ascertaining Niger delta Nigeria Send thoughts ⁦⁩ nigerrescue.com,AirQuality,,post
54,1311026294503727108,Tue Sep 29 19:33:20 +0000 2020,Everywhere calm No biggie Mary Martha Rema ...,freshair,,post
55,1303751165977464832,Wed Sep 09 17:44:35 +0000 2020,You get IPIP Receiver abi plenty updates already dy chock,"parachute, oxygenmask, FreshAIR","Lagos, Nigeria",post
56,1289988191605288960,Sun Aug 02 18:15:26 +0000 2020,She love colours ️ …,"love, fashionista, lagosboutique, african, follow, ankarafashion, nigerianwomen, naijafashiondaily, ankara, freshair, nigerianweddings, nigerianbusiness","Lagos, Nigeria",post
57,1289994735000735744,Sun Aug 02 18:41:26 +0000 2020,Those High waist pants 🤩🤩 love …,"fashionista, lagosboutique, african, follow, ankarafashion, nigerianwomen, naijafashiondaily, ankara, freshair, nigerianweddings, nigerianbusiness","Lagos, Nigeria",post
58,1310441968338599936,Mon Sep 28 04:51:26 +0000 2020,With Sun King families breath cleaner air This removes worries harmful particulates emitted Kerosene lanterns knowing loved ones safer healthier,"Sunking, solarnergy, endenergypoverty",,post
59,1312036042694897665,Fri Oct 02 14:25:43 +0000 2020,Are effective equitable solutions yet These 4 countries produce world largest Via,"Globalwarming, CO2, emissions, China, USA, India, Russian, ucsusa, GlobalWarming, pollution",,post
60,1312005995154071552,Fri Oct 02 12:26:19 +0000 2020,Your carbon footprint impact environment measures greenhouse gases responsible creating consume responsibly,"gogreen, carbonfootprint, usereusables, reduce, refuse, emissions, transport, offsets, electricity, recycling, WasteManagement, vote",,post
61,1302893126495932416,Mon Sep 07 08:55:02 +0000 2020,Air pollution threat sustainable development simultaneously affects various social environmental amp economic criteria linked equitable human development good health food security gender equality climate stability amp poverty reduction,WorldCleanAirDay,,post
